Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1759620366,50,,Aggregated,46.500000,0.000000,26,46,50,52,73,120,260,350,1300,3700,3700,5965,0,26,45.448123252972955,2.1814169886056334,3652.9767499887384,3564.707795473596
1759620367,50,,Aggregated,45.900000,0.000000,26,46,50,52,72,120,250,350,1300,3700,3700,6021,0,26,45.30164153827685,2.1814169886056334,3652.9767499887384,3560.3384819797375
1759620368,50,,Aggregated,46.700000,0.000000,26,46,50,52,72,120,250,350,1300,3700,3700,6052,0,26,45.216951324016684,2.1814169886056334,3652.9767499887384,3560.1969596827494
1759620369,50,,Aggregated,45.900000,0.000000,26,46,50,52,72,120,250,350,1300,3700,3700,6107,0,26,45.11548861238854,2.1814169886056334,3652.9767499887384,3564.463893892255
1759620370,50,,Aggregated,47.200000,0.000000,26,46,50,52,72,120,250,350,1300,3700,3700,6153,0,26,44.97075197688719,2.1814169886056334,3652.9767499887384,3562.8171623598246
1759620371,50,,Aggregated,44.900000,0.000000,26,46,50,52,72,120,250,350,1300,3700,3700,6193,0,26,44.898770842367064,2.1814169886056334,3652.9767499887384,3556.5404488939125
1759620372,50,,Aggregated,45.600000,0.000000,26,46,50,52,71,120,250,350,1300,3700,3700,6238,0,26,44.782851827792406,2.1814169886056334,3652.9767499887384,3556.5227637063163
1759620373,50,,Aggregated,46.200000,0.000000,26,46,50,52,71,120,250,350,1300,3700,3700,6282,0,26,44.64743451398104,2.1814169886056334,3652.9767499887384,3557.8669213626235
1759620374,50,,Aggregated,45.100000,0.000000,26,46,50,52,70,120,250,350,1300,3700,3700,6333,0,26,44.476452648009385,2.1814169886056334,3652.9767499887384,3559.6492973314384
1759620375,50,,Aggregated,44.100000,0.000000,26,46,50,52,70,110,240,350,1300,3700,3700,6384,0,26,44.312455258126676,2.1814169886056334,3652.9767499887384,3562.183897243108
1759620376,50,,Aggregated,44.300000,0.000000,25,46,50,52,70,110,240,340,1300,3700,3700,6423,30,25,44.12548893863366,1.041166004142724,3652.9767499887384,3545.6506305464736
1759620377,50,,Aggregated,45.100000,0.000000,25,46,50,52,70,110,240,340,1300,3700,3700,6466,73,25,43.84370794507278,0.7069159910315648,3652.9767499887384,3522.071450665017
1759620378,50,,Aggregated,46.200000,0.000000,25,46,49,52,69,110,240,340,1300,3700,3700,6523,130,25,43.481728222575434,0.6414579984266311,3652.9767499887384,3491.294496397363
1759620379,50,,Aggregated,45.500000,3.000000,25,46,49,52,69,110,240,340,1300,3700,3700,6560,167,25,43.243711412633715,0.5674169951817021,3652.9767499887384,3471.602743902439
1759620380,50,,Aggregated,44.200000,7.300000,24,45,49,52,69,110,240,340,1300,3700,3700,6611,218,24,42.92306040355637,0.5674169951817021,3652.9767499887384,3444.821358342157
1759620381,50,,Aggregated,46.800000,13.000000,24,45,49,51,68,110,240,340,1300,3700,3700,6656,263,24,42.64253052237056,0.5674169951817021,3652.9767499887384,3421.531550480769
1759620382,50,,Aggregated,45.200000,16.700000,24,45,49,51,68,110,240,340,1300,3700,3700,6698,305,24,42.38581094310946,0.5674169951817021,3652.9767499887384,3400.0767393251717
1759620384,50,,Aggregated,45.400000,21.900000,24,45,49,51,67,110,240,340,1300,3700,3700,6747,354,24,42.08957021534427,0.5674169951817021,3652.9767499887384,3375.383726100489
1759620385,50,,Aggregated,46.200000,26.300000,23,45,49,51,67,110,230,340,1300,3700,3700,6797,404,23,41.79142133057731,0.5674169951817021,3652.9767499887384,3350.553773723702
1759620386,50,,Aggregated,46.300000,35.400000,23,45,49,51,67,110,230,330,1300,3700,3700,6849,456,23,41.485406627676376,0.5674169951817021,3652.9767499887384,3325.1151992991677
1759620387,50,,Aggregated,46.300000,35.400000,23,44,49,51,66,110,230,330,1300,3700,3700,6898,505,23,41.209918737301244,0.5674169951817021,3652.9767499887384,3301.495216004639
1759620388,50,,Aggregated,46.400000,40.400000,23,44,49,51,66,110,230,330,1300,3700,3700,6945,552,23,40.952894311146245,0.5674169951817021,3652.9767499887384,3279.152483801296
1759620389,50,,Aggregated,45.900000,45.200000,22,44,49,51,66,110,230,330,1300,3700,3700,6989,596,22,40.703684842314814,0.5674169951817021,3652.9767499887384,3258.5082272141935
1759620390,50,,Aggregated,47.900000,47.900000,22,44,49,51,66,110,220,330,1200,3700,3700,7037,644,22,40.451628817257195,0.5142919981153682,3652.9767499887384,3236.281654113969
1759620391,50,,Aggregated,47.900000,47.900000,22,43,49,51,66,110,220,330,1200,3700,3700,7089,696,22,40.16505768119297,0.5142919981153682,3652.9767499887384,3212.542530681337
1759620392,50,,Aggregated,46.600000,46.600000,22,43,49,51,65,110,220,330,1200,3700,3700,7132,739,22,39.93972029024063,0.5057500093244016,3652.9767499887384,3193.1735838474483
1759620393,50,,Aggregated,47.700000,47.700000,21,43,49,51,65,110,220,330,1200,3700,3700,7176,783,21,39.70646622770373,0.5057500093244016,3652.9767499887384,3173.594481605351
1759620394,50,,Aggregated,47.600000,47.600000,21,42,49,51,65,110,220,330,1200,3700,3700,7229,836,21,39.4268423798587,0.5057500093244016,3652.9767499887384,3150.3270161848113
1759620395,50,,Aggregated,47.400000,47.400000,21,40,48,51,64,110,220,330,1200,3700,3700,7299,906,21,39.06651659788623,0.5057500093244016,3652.9767499887384,3120.1142622277025
1759620396,50,,Aggregated,47.500000,47.500000,21,40,48,50,64,110,220,320,1200,3700,3700,7344,951,21,38.83644731849372,0.5057500093244016,3652.9767499887384,3100.99591503268
1759620397,50,,Aggregated,47.500000,47.500000,21,40,48,50,64,110,220,320,1200,3700,3700,7379,986,21,38.660986789677544,0.5057500093244016,3652.9767499887384,3086.2873018024125
1759620398,50,,Aggregated,48.800000,48.800000,20,39,48,50,64,100,220,320,1200,3700,3700,7439,1046,20,38.3663791195086,0.5057500093244016,3652.9767499887384,3061.3945422771876
1759620399,50,,Aggregated,48.100000,48.100000,20,38,48,50,63,100,220,320,1200,3700,3700,7486,1093,20,38.13430988593551,0.5057500093244016,3652.9767499887384,3042.1739246593643
1759620400,50,,Aggregated,49.100000,49.100000,20,38,48,50,63,100,220,320,1200,3700,3700,7540,1147,20,37.87318310876254,0.5057500093244016,3652.9767499887384,3020.386472148541
1759620401,50,,Aggregated,49.500000,49.500000,20,37,48,50,63,100,220,320,1200,3700,3700,7577,1184,20,37.696959533725604,0.5057500093244016,3652.9767499887384,3005.6373234789494
1759620402,50,,Aggregated,50.600000,50.600000,19,36,48,50,63,100,210,320,1200,3700,3700,7636,1243,19,37.41868963463524,0.5057500093244016,3652.9767499887384,2982.4140911471973
1759620403,50,,Aggregated,47.900000,47.900000,19,36,48,50,63,100,210,320,1200,3700,3700,7692,1299,19,37.16193726326701,0.5057500093244016,3652.9767499887384,2960.701248049922
1759620404,50,,Aggregated,50.100000,50.100000,19,35,48,50,62,100,210,320,1200,3700,3700,7731,1338,19,36.98554297232664,0.5057500093244016,3652.9767499887384,2945.765618936748
1759620405,50,,Aggregated,51.700000,51.700000,19,35,48,50,62,99,210,320,1200,3700,3700,7781,1388,19,36.76571595527143,0.5057500093244016,3652.9767499887384,2926.8363963500838
1759620406,50,,Aggregated,50.700000,50.700000,19,35,48,50,62,99,210,320,1200,3700,3700,7822,1429,19,36.58494759587492,0.5057500093244016,3652.9767499887384,2911.4950140628994
1759620407,50,,Aggregated,48.700000,48.700000,18,34,48,50,62,99,210,320,1200,3700,3700,7865,1472,18,36.39928808148867,0.5057500093244016,3652.9767499887384,2895.5771137952956
1759620408,50,,Aggregated,47.900000,47.900000,18,34,47,50,62,98,210,320,1200,3700,3700,7918,1525,18,36.17011813424965,0.5057500093244016,3652.9767499887384,2876.1952513260926
1759620409,50,,Aggregated,48.400000,48.400000,18,33,47,50,61,98,210,320,1200,3700,3700,7972,1579,18,35.93642122541405,0.47208300384227186,3652.9767499887384,2856.7127446061213
1759620410,50,,Aggregated,47.100000,47.100000,18,33,47,50,61,98,210,320,1200,3700,3700,8023,1630,18,35.72088738714198,0.47208300384227186,3652.9767499887384,2838.5534089492708
1759620411,50,,Aggregated,47.600000,47.600000,18,33,47,50,61,97,210,320,1200,3700,3700,8062,1669,18,35.55476821930817,0.47208300384227186,3652.9767499887384,2824.821880426693
1759620412,50,,Aggregated,46.700000,46.700000,17,32,47,49,61,97,210,320,1200,3700,3700,8124,1731,17,35.297447579402,0.47208300384227186,3652.9767499887384,2803.263663220089
1759620413,50,,Aggregated,49.100000,49.100000,17,32,47,49,61,96,200,320,1200,3700,3700,8169,1776,17,35.11132670388539,0.47208300384227186,3652.9767499887384,2787.821520381932
1759620414,50,,Aggregated,48.400000,48.400000,17,32,47,49,61,95,200,320,1200,3700,3700,8201,1808,17,34.98009174272341,0.47208300384227186,3652.9767499887384,2776.9435434703087
